Date,Home,Score,Away,Result,W,D,L,Pts,Poss,Gls,Ast,CrdY,CrdR,GlsPer90,AstPer90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,CS,CS%,Cmp%,KP,1/3,Prog,SCA,SCA90,PassLiveSCA,DribSCA,ShSCA,DefSCA,GCA,GCA90,PassLiveGCA,DribGCA,ShGCA,DefGCA,TklW,Blocks,Int,Err,Live,Miscon,MP_1_Home,Min_1_Home,MP_2_Home,Min_2_Home,Gls_2_Home,Ast_2_Home,GlsPer90_2_Home,AstPer90_2_Home,MP_3_Home,Min_3_Home,Gls_3_Home,Ast_3_Home,GlsPer90_3_Home,AstPer90_3_Home,MP_4_Home,Min_4_Home,Gls_4_Home,Ast_4_Home,GlsPer90_4_Home,AstPer90_4_Home,MP_5_Home,Min_5_Home,Gls_5_Home,Ast_5_Home,GlsPer90_5_Home,AstPer90_5_Home,MP_6_Home,Min_6_Home,Gls_6_Home,Ast_6_Home,GlsPer90_6_Home,AstPer90_6_Home,MP_7_Home,Min_7_Home,Gls_7_Home,Ast_7_Home,GlsPer90_7_Home,AstPer90_7_Home,MP_8_Home,Min_8_Home,Gls_8_Home,Ast_8_Home,GlsPer90_8_Home,AstPer90_8_Home,MP_9_Home,Min_9_Home,Gls_9_Home,Ast_9_Home,GlsPer90_9_Home,AstPer90_9_Home,MP_10_Home,Min_10_Home,Gls_10_Home,Ast_10_Home,GlsPer90_10_Home,AstPer90_10_Home,MP_11_Home,Min_11_Home,Gls_11_Home,Ast_11_Home,GlsPer90_11_Home,AstPer90_11_Home,MP_1_Away,Min_1_Away,MP_2_Away,Min_2_Away,Gls_2_Away,Ast_2_Away,GlsPer90_2_Away,AstPer90_2_Away,MP_3_Away,Min_3_Away,Gls_3_Away,Ast_3_Away,GlsPer90_3_Away,AstPer90_3_Away,MP_4_Away,Min_4_Away,Gls_4_Away,Ast_4_Away,GlsPer90_4_Away,AstPer90_4_Away,MP_5_Away,Min_5_Away,Gls_5_Away,Ast_5_Away,GlsPer90_5_Away,AstPer90_5_Away,MP_6_Away,Min_6_Away,Gls_6_Away,Ast_6_Away,GlsPer90_6_Away,AstPer90_6_Away,MP_7_Away,Min_7_Away,Gls_7_Away,Ast_7_Away,GlsPer90_7_Away,AstPer90_7_Away,MP_8_Away,Min_8_Away,Gls_8_Away,Ast_8_Away,GlsPer90_8_Away,AstPer90_8_Away,MP_9_Away,Min_9_Away,Gls_9_Away,Ast_9_Away,GlsPer90_9_Away,AstPer90_9_Away,MP_10_Away,Min_10_Away,Gls_10_Away,Ast_10_Away,GlsPer90_10_Away,AstPer90_10_Away,MP_11_Away,Min_11_Away,Gls_11_Away,Ast_11_Away,GlsPer90_11_Away,AstPer90_11_Away
2018-08-10,Manchester Utd,2 - 1,Leicester City,W,4.000,2.000,-6.000,14.000,3.400,17.000,6.000,15.000,-1.000,0.450,0.160,10.000,38.000,6.600,0.260,1.000,0.030,0.010,6.000,0.160,30.000,28.000,0.025,-3.000,-7.900,3.700,17.000,154.000,235.000,75.000,1.970,98.000,1.000,-3.000,-7.000,28.000,0.740,19.000,3.000,4.000,0.000,-86.000,-41.000,-53.000,-1.000,1461.000,-27.000,38,3420,30,2601,1,1,0.03,0.03,12,638,0,0,0.00,0.00,29,2591,1,4,0.03,0.14,6,443,0,0,0.00,0.00,35,3006,13,9,0.39,0.27,15,599,1,1,0.15,0.15,17,1041,1,1,0.09,0.09,20,880,1,3,0.10,0.31,22,1289,3,2,0.21,0.14,33,2334,10,6,0.39,0.23,38,3420,36,3240,0,4,0.00,0.11,22,1925,3,0,0.14,0.00,35,3123,2,6,0.06,0.17,31,2596,3,0,0.10,0.00,9,641,0,0,0.00,0.00,36,2831,7,7,0.22,0.22,2,88,0,0,0.00,0.00,38,3296,2,0,0.05,0.00,34,1985,4,1,0.18,0.05,30,941,1,3,0.10,0.29
2018-08-11,Newcastle Utd,1 - 2,Tottenham,L,-11.000,7.000,4.000,-26.000,-18.500,-25.000,-14.000,0.000,-1.000,-0.660,-0.370,-100.000,-50.000,-3.500,-2.640,-1.310,-0.030,-0.040,9.000,0.230,-13.000,-20.000,-0.068,-2.000,-5.300,-10.700,-92.000,-544.000,-550.000,-211.000,-5.550,-149.000,-22.000,-19.000,0.000,-42.000,-1.100,-25.000,-8.000,-3.000,2.000,21.000,165.000,154.000,1.000,-7105.000,-12.000,38,3420,11,858,3,0,0.31,0.00,26,1990,0,0,0.00,0.00,32,2745,0,1,0.00,0.03,36,2928,2,8,0.06,0.25,29,2473,1,2,0.04,0.07,16,948,1,1,0.09,0.09,29,2166,0,0,0.00,0.00,25,1348,1,1,0.07,0.07,37,2917,12,2,0.37,0.06,16,596,2,0,0.30,0.00,33,2970,22,1911,1,0,0.05,0.00,23,1942,1,1,0.05,0.05,8,564,0,2,0.00,0.32,27,1844,0,0,0.00,0.00,20,1506,3,0,0.18,0.00,29,2330,0,3,0.00,0.12,25,1825,5,3,0.25,0.15,35,2774,8,12,0.26,0.39,28,2424,17,4,0.63,0.15,32,2121,10,0,0.42,0.00
2018-08-11,Watford,2 - 0,Brighton,W,5.000,-1.000,-4.000,14.000,4.500,16.000,15.000,18.000,0.000,0.420,0.400,65.000,51.000,7.800,1.710,1.340,0.040,0.030,-1.000,-0.030,18.000,13.000,0.005,0.000,0.000,1.100,19.000,117.000,273.000,61.000,1.600,68.000,10.000,-4.000,9.000,28.000,0.730,24.000,10.000,-3.000,1.000,-6.000,-62.000,19.000,5.000,1292.000,-10.000,38,3420,18,1520,0,2,0.00,0.12,36,3096,3,0,0.09,0.00,28,2393,3,6,0.11,0.23,21,1586,0,0,0.00,0.00,35,3062,5,6,0.15,0.18,32,2418,2,4,0.07,0.15,33,2944,1,3,0.03,0.09,32,2545,9,5,0.32,0.18,29,1366,7,2,0.46,0.13,33,2815,6,1,0.19,0.03,34,3060,14,1131,0,1,0.00,0.08,35,3087,5,1,0.15,0.03,36,3151,2,1,0.06,0.03,22,1752,0,1,0.00,0.05,30,2485,1,1,0.04,0.04,25,1864,3,3,0.14,0.14,30,2546,1,1,0.04,0.04,30,1837,2,6,0.10,0.29,38,2508,13,1,0.47,0.04,35,2463,1,5,0.04,0.18
2018-08-11,Huddersfield,0 - 3,Chelsea,L,-18.000,-2.000,20.000,-56.000,-15.800,-41.000,-39.000,7.000,4.000,-1.080,-1.030,-197.000,-71.000,-2.200,-5.180,-1.860,-0.040,-0.140,37.000,0.970,57.000,27.000,-0.073,-11.000,-28.900,-12.000,-192.000,-753.000,-769.000,-429.000,-11.290,-386.000,-31.000,-9.000,7.000,-80.000,-2.110,-58.000,-10.000,-5.000,0.000,23.000,168.000,157.000,1.000,-8857.000,-24.000,7,552,32,2716,1,1,0.03,0.03,29,2057,0,2,0.00,0.09,24,2147,3,1,0.13,0.04,37,3260,1,0,0.03,0.00,24,1842,0,0,0.00,0.00,29,2367,0,1,0.00,0.04,27,2188,2,0,0.08,0.00,29,2330,3,1,0.12,0.04,30,2081,2,0,0.09,0.00,31,1778,2,3,0.10,0.15,36,3240,33,2871,1,0,0.03,0.00,31,2759,2,4,0.07,0.13,38,3402,1,5,0.03,0.13,36,3238,3,2,0.08,0.06,37,3156,2,0,0.06,0.00,36,3092,4,4,0.12,0.12,27,1245,3,5,0.22,0.36,31,1778,8,2,0.40,0.10,32,2097,3,6,0.13,0.26,16,941,5,0,0.48,0.00
2018-08-11,Bournemouth,2 - 0,Cardiff City,W,3.000,2.000,-5.000,11.000,11.200,22.000,23.000,-6.000,0.000,0.580,0.600,25.000,39.000,7.400,0.660,1.030,0.040,0.050,1.000,0.020,-35.000,-32.000,-0.069,0.000,0.000,15.500,51.000,260.000,500.000,95.000,2.500,108.000,5.000,-12.000,2.000,46.000,1.210,29.000,4.000,-1.000,3.000,-99.000,-112.000,-106.000,-4.000,5723.000,81.000,24,2160,31,2786,1,1,0.03,0.03,38,3411,4,0,0.11,0.00,21,1585,1,0,0.06,0.00,25,2066,1,1,0.04,0.04,25,1739,2,1,0.10,0.05,18,1439,0,0,0.00,0.00,30,2261,7,5,0.28,0.20,38,3166,7,14,0.20,0.40,30,2528,14,9,0.50,0.32,35,2961,12,3,0.36,0.09,38,3420,20,1544,0,0,0.00,0.00,30,2639,0,1,0.00,0.03,34,3039,1,3,0.03,0.09,38,3376,0,1,0.00,0.03,28,2474,4,1,0.15,0.04,28,1959,0,0,0.00,0.00,20,985,4,1,0.37,0.09,27,1998,4,1,0.18,0.05,27,1424,5,2,0.32,0.13,32,2141,3,1,0.13,0.04
2018-08-11,Fulham,0 - 2,Crystal Palace,L,-7.000,-2.000,9.000,-23.000,3.600,-15.000,-9.000,12.000,0.000,-0.390,-0.240,-51.000,1.000,3.500,-1.340,0.020,-0.010,-0.060,28.000,0.740,66.000,40.000,-0.028,-7.000,-18.400,2.400,-20.000,94.000,-17.000,-67.000,-1.760,-2.000,-15.000,-9.000,-5.000,-29.000,-0.760,-9.000,1.000,-3.000,-3.000,-57.000,-88.000,4.000,-7.000,2257.000,7.000,2,180,26,2250,0,1,0.00,0.04,28,1948,0,1,0.00,0.05,28,2345,0,1,0.00,0.04,31,2588,2,0,0.07,0.00,15,841,0,0,0.00,0.00,31,2194,1,1,0.04,0.04,32,2244,1,2,0.04,0.08,35,2300,2,6,0.08,0.23,37,3280,11,3,0.30,0.08,24,1641,6,0,0.33,0.00,18,1576,36,3195,3,2,0.08,0.06,29,2560,1,1,0.04,0.04,27,2416,0,0,0.00,0.00,35,3134,0,3,0.00,0.09,38,3420,12,2,0.32,0.05,30,1670,4,1,0.22,0.05,38,3058,3,6,0.09,0.18,38,3009,6,4,0.18,0.12,34,3036,10,5,0.30,0.15,16,814,1,1,0.11,0.11
2018-08-11,Wolves,2 - 2,Everton,D,1.000,0.000,-1.000,3.000,-4.600,-7.000,1.000,17.000,-3.000,-0.180,0.030,-24.000,-15.000,-1.600,-0.630,-0.390,-0.010,-0.030,0.000,0.000,13.000,15.000,0.039,-5.000,-13.100,1.700,-11.000,-79.000,-165.000,-37.000,-0.980,30.000,-12.000,-13.000,-1.000,0.000,0.000,3.000,-7.000,-3.000,-1.000,-46.000,65.000,-9.000,-3.000,-154.000,-113.000,37,3329,38,3144,4,5,0.11,0.14,34,3060,1,0,0.03,0.00,36,3167,4,0,0.11,0.00,38,3420,0,0,0.00,0.00,33,2771,1,1,0.03,0.03,35,3007,4,3,0.12,0.09,38,3032,1,8,0.03,0.24,38,3111,13,7,0.38,0.20,25,1341,1,2,0.07,0.13,33,2355,9,5,0.34,0.19,38,3420,6,375,0,0,0.00,0.00,33,2969,1,2,0.03,0.06,7,331,1,0,0.27,0.00,29,2558,2,2,0.07,0.07,38,3117,13,6,0.38,0.17,33,2822,0,2,0.00,0.06,14,834,0,1,0.00,0.11,37,2119,5,2,0.21,0.08,25,1059,3,3,0.25,0.25,35,2665,13,1,0.44,0.03
2018-08-12,Southampton,0 - 0,Burnley,D,-2.000,5.000,-3.000,-1.000,2.700,1.000,-5.000,-2.000,2.000,0.030,-0.130,123.000,38.000,-0.200,3.240,1.000,-0.030,-0.100,-3.000,-0.080,-29.000,-27.000,-0.039,-1.000,-2.700,3.000,79.000,200.000,160.000,197.000,5.190,150.000,28.000,11.000,14.000,2.000,0.060,7.000,2.000,-4.000,3.000,109.000,-47.000,97.000,-1.000,1635.000,-24.000,25,2250,18,1495,1,2,0.06,0.12,23,2027,0,0,0.00,0.00,24,1700,1,0,0.05,0.00,13,1170,0,0,0.00,0.00,24,2160,1,0,0.04,0.00,31,2136,1,0,0.04,0.00,29,1432,3,2,0.19,0.13,21,1613,1,1,0.06,0.06,25,983,2,2,0.18,0.18,38,3270,6,4,0.17,0.11,19,1710,21,1750,0,0,0.00,0.00,35,3086,3,1,0.09,0.03,38,3420,0,2,0.00,0.05,3,228,0,0,0.00,0.00,37,3312,1,2,0.03,0.05,29,1752,3,6,0.15,0.31,32,2063,3,0,0.13,0.00,34,2824,2,7,0.06,0.22,38,2588,10,2,0.35,0.07,16,1215,1,1,0.07,0.07
2018-08-12,Liverpool,4 - 0,West Ham,W,15.000,0.000,-15.000,45.000,13.000,35.000,22.000,-20.000,1.000,0.920,0.580,131.000,61.000,2.900,3.450,1.610,0.030,0.070,-33.000,-0.870,-95.000,-65.000,0.038,14.000,36.900,6.200,103.000,690.000,762.000,229.000,6.030,189.000,39.000,1.000,2.000,64.000,1.680,45.000,7.000,1.000,2.000,-55.000,-131.000,-87.000,5.000,7076.000,98.000,38,3420,38,3384,4,2,0.11,0.05,16,1063,0,0,0.00,0.00,36,3216,0,11,0.00,0.31,29,2462,1,12,0.04,0.44,35,2725,3,0,0.10,0.00,31,1789,5,4,0.25,0.20,25,1390,2,1,0.13,0.06,34,2607,12,6,0.41,0.21,36,3077,22,1,0.64,0.03,38,3250,22,8,0.61,0.22,38,3420,23,2013,1,0,0.04,0.00,24,1874,1,1,0.05,0.05,15,1086,1,0,0.08,0.00,23,1759,0,1,0.00,0.05,31,2291,5,5,0.20,0.20,8,392,0,1,0.00,0.23,34,3003,2,0,0.06,0.00,28,1990,10,4,0.45,0.18,36,3043,9,4,0.27,0.12,33,2103,6,4,0.26,0.17
2018-08-12,Arsenal,0 - 2,Manchester City,L,-11.000,5.000,6.000,-28.000,-9.800,-22.000,-19.000,29.000,1.000,-0.570,-0.500,-216.000,-89.000,-2.200,-5.680,-2.340,0.010,0.050,28.000,0.730,99.000,75.000,-0.001,-12.000,-31.500,-5.200,-150.000,-820.000,-487.000,-320.000,-8.420,-224.000,-29.000,-26.000,0.000,-42.000,-1.110,-33.000,-5.000,0.000,-2.000,41.000,98.000,13.000,3.000,-5805.000,52.000,7,584,19,1533,0,5,0.00,0.29,25,2198,1,2,0.04,0.08,16,987,1,1,0.09,0.09,31,2611,2,0,0.07,0.00,28,1331,4,6,0.27,0.41,24,1735,5,2,0.26,0.10,33,2149,0,0,0.00,0.00,29,2498,4,2,0.14,0.07,25,1641,6,4,0.33,0.22,36,2726,22,5,0.73,0.17,38,3420,33,2779,1,1,0.03,0.03,24,1764,0,0,0.00,0.00,35,3057,3,3,0.09,0.09,10,900,0,5,0.00,0.50,31,2137,6,3,0.25,0.13,36,2854,7,7,0.22,0.22,29,2377,1,3,0.04,0.11,34,2771,17,9,0.55,0.29,33,2459,21,8,0.77,0.29,27,1343,7,4,0.47,0.27
